TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
DATE: 07/14/2023,,,,,,,,,,,,,,,,,,,
DESIGN: ek_ra8d1,,,,,,,,,,,,,,,,,,,
TEMPLATE: J:\ACLib\ree_site\cdssetup\bom\ree_all_v1.0.bom,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Qty,CATEGORY,PART_NUMBER,VALUE,DESCRIPTION,JEDEC_TYPE,Ref Des,REMARKS,MECH_KIT1,TOLERANCE,OPERATING_VOLTAGE,POWER_RATING,MANUFACTURER_PRIMARY,MANUFACTURER_PRIMARY_ORDER_CODE,DISTRIBUTOR_PRIMARY,DISTRIBUTOR_PRIMARY_ORDER_CODE,MANUFACTURER_SECONDARY,MANUFACTURER_SECONDARY_ORDER_CODE,DISTRIBUTOR_SECONDARY,DISTRIBUTOR_SECONDARY_ORDER_CODE
30,"PASSIVE, Resistor",150-00000102,10K,"resistor,0402,1/16Watt,E24",EIA0402,"R9,R12,R13,R14,R17,R18,R28,R31,R36,R39,R40,R45,R58,R59,R60,R65,R66,R82,R88,R96,R97,R99,R100,R101,R102,R107,R108,R111,R119,R123", , ,1%,50V,0.0625W,YAGEO,RC0402FR-0710KL,Farnell, , , , , 
17,"PASSIVE, Resistor",150-00000042,33,"resistor,0402,1/16Watt,E24",EIA0402,"R21,R22,R44,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R83,R84,R103", , ,1%,50V,0.0625W,YAGEO,RC0402FR-0733RL,Farnell, , , , , 
1,"PASSIVE, Resistor",150-00001142,1k82,"resistor,0402,1/16Watt,E96",EIA0402,R104, , ,1%,50V,0.0625W,YAGEO,RC0402FR-071k82L,Farnell, , , , , 
1,"PASSIVE, Resistor",150-00001232,18K2,"resistor,0402,1/16Watt,E96",EIA0402,R105, , ,1%,50V,0.0625W,YAGEO,RC0402FR-0718K2L,Farnell, , , , , 
14,"PASSIVE, Resistor",150-00000001,0,"resistor,0402,1/16Watt,E24",EIA0402,"R6,R7,R8,R11,R19,R20,R23,R35,R41,R61,R62,R63,R64,R106", , ,5%,50V,0.0625W,YAGEO,RC0402JR-070RL,Farnell, , , , , 
5,"PASSIVE, Resistor",150-00000078,1K0,"resistor,0402,1/16Watt,E24",EIA0402,"R24,R57,R98,R109,R110", , ,1%,50V,0.0625W,YAGEO,RC0402FR-071KL,Farnell, , , , , 
1,"PASSIVE, Resistor",150-00000067,360,"resistor,0402,1/16Watt,E24",EIA0402,R124, , ,1%,50V,0.0625W,YAGEO,RC0402FR-07360RL,Farnell, , , , , 
2,"PASSIVE, Resistor",150-00000043,36,"resistor,0402,1/16Watt,E24",EIA0402,"R125,R126", , ,1%,50V,0.0625W,YAGEO,RC0402FR-0736RL,Farnell, , , , , 
4,"PASSIVE, Resistor",150-00000113,30K,"resistor,0402,1/16Watt,E24",EIA0402,"R5,R15,R26,R85", , ,1%,50V,0.0625W,YAGEO,RC0402FR-0730KL,Farnell, , , , , 
5,"PASSIVE, Resistor",150-00000082,1K5,"resistor,0402,1/16Watt,E24",EIA0402,"R16,R30,R37,R42,R43", , ,1%,50V,0.0625W,YAGEO,RC0402FR-071K5L,Farnell, , , , , 
